id,invitation,review,reviewer_rating,annotation_round,r1,r2,r3,r4,r5,s1,s2,s3,s4,s5,proportional_agreement,average,majority
BOWgkwSLw-q,ICLR.cc/2022/Workshop/OSC/Paper22/-/Official_Review,"This paper proposes to use an alignment network output (from Rocco 2018) and MSE to quantify changes between two different images such that they ""explain"" the difference between the images via a ""pose"" change, a ""shape"" change and an ""appearance"" change. By using the outputs of the alignment network the authors propose a way to quantify pose changes (by magnitude of affine transform between images), shape changes (by magnitude of TPS deformation between images) and appearance changes (by a pixel wise L2 error).

My main issue, and the authors themselves admit it, is that this is a very simplistic way of explaining differences between images - it completely ignores the 3D aspect of natural images, and, even more crucially, the appearance model used is really too simple - other pre-trained features (maybe a self-supervised representation trained on ImageNet or something along these lines) could have been much more informative. 

I like the core idea in this work and presenting at the workshop to get more feedback is probably a good idea, but I would encourage the authors to enrich and make the model a bit more sophisticated. The technology exists and would benefit this nice core idea.","2: Good workshop paper, accept",1,1,1,0,1,0,,,,,,0.4,0.6,1
BPbzCeCc4L,NeurIPS.cc/2022/Workshop/HITY/Paper28/-/Official_Review,"This work proposes a new method for speeding up neural network training by importance sampling. The paper is clearly written, and the empirical results demonstrate superiority of the method over relevant baselines.",1: accept,2,0,0,0,0,0,"1-The paper is clearly written, and the empirical results demonstrate superiority of the method over relevant baselines.",,,[[The reviewer must've done this at 11:59 but it has a strong positive vibe for me.]],"1-< The paper is clearly written, and the empirical results demonstrate superiority of the method over relevant baselines.>",1,0,0
BRzgpZTzAbc,ICLR.cc/2022/Workshop/OSC/Paper12/-/Official_Review,"This paper proposes a framework to tackle the MI EEG classification task and mainly focus on the challenge of subject distribution shift. Specifically, the core module of the framework is the concept of dynamic convolutions which contain parallel trainable convolutional kernels to increase model's complexity without increasing the network's depth or width. 

However, it seems that the authours just apply this already proposed method to the task of MI EEG classification and the whole method lacks novelty. Besides,  causal reasoning is not well descrbed in the paper except Eq.(3) which is not enough for self-contained and Z is not stated in your pipeline (Fig. 2)","2: Good workshop paper, accept",2,2,2,2,2,2,"1,5-However, it seems that the authours just apply this already proposed method to the task of MI EEG classification and the whole method lacks novelty. Besides, causal reasoning is not well descrbed in the paper except Eq.(3) which is not enough for self-contained and Z is not stated in your pipeline (Fig. 2)","2-However, it seems that the authours just apply this already proposed method to the task of MI EEG classification and the whole method lacks novelty.","2- However, it seems that the authours just apply this already proposed method to the task of MI EEG classification and the whole method lacks novelty. Besides, causal reasoning is not well descrbed in the paper except Eq.(3) which is not enough for self-contained and Z is not stated in your pipeline (Fig. 2)",5-the whole method lacks novelty,5-<the whole method lacks novelty>,1,2,2
bS5LWCHwRY,MIDL.io/2020/Conference/Paper23/-/Official_Review,"This paper presents a multi-label classification framework based on deep convolutional neural networks (CNNs) for diagnosing the presence of 14 common thoracic diseases and observations in X-rays images. The novelty of the proposed framework is to take the label structure into account and to learn label dependencies, based on the idea of conditional learning in (Chen et al., 2019) and the lung disease hierarchy of the CheXpert dataset (Irvin and al., 2019). The method is then shown to significantly outperform the state-of-the-art methods of (Irvin and al., 2019; Allaouzi and Ahmed, 2019).

The paper reads well and the methodology seems to be interesting. I only regret the fact that this is a short paper, and there is therefore not enough space for a more formal description and discussion of the methodology.",3: Weak accept,1,1,1,0,0,0,,,,,,0.4,0.4,0
BylxXI3M9N,ICLR.cc/2019/Workshop/DeepGenStruct/-/Paper33/Official_Review,"Positives:
- The results are straightforward, and compare to the standard baselines (SIF, infersent etc). I think these are not SoTA numbers but the relative comparisons seem fine, especially for a workshop paper. The addition of supplementary ablation experiments is also much appreciated.
- The approach is fairly clear, and there's no real big holes in terms of how the problem is set up and solved. 

Conceptual:
- I'm a bit unhappy with how the entailment experiments were set up. The narrative up to the last paragraph (""For this purpose, .."") is fairly clear that one wants to find distributions that are 'contained in the support' of another. You could directly do this on the PPMI matrix you have and define a measure of 'containment' in terms of distributions. Instead of this, you end up plugging in a (heurisitic) ground metric and computing embeddings. This seems haphazard, and I'm not terribly convinced this makes sense. Are you doing consistency checks like making sure you dont have negative-cost-cycles?

Clarity:
- Throughout the paper, there are all sorts of minor unsupported side-remarks and claims that should be stripped. The paper has a fairly straightforward main story and positive results; the addition of these remarks just detract from the rest of the paper. The authors should ask themselves - would I be willing to write a supplemental proof to make this statement precise? or is it just a side-remark I can remove. 
- The explanation surrounding equation 4 is fairly confusing. I guess what's happening is that you're taking each context, embedding it to some metric space, and weighting it by its bin count. This is quite the sudden leap, since until this point it wasn't really clear that you were going to embed the contexts with a base embedding. Is this an approximation to the actual thing you want to compute (OT over contexts?) or a way to induce the distances? I think its a little bit of both, but the explanation here needs to be more carefully thought out and laid out. I think it would help to make the inputs and outputs to your method precise. 
- 'We also consider adding the information from point estimate into the distributional estimate to get best of both the worlds.' - you should motivate why you want to do this ('best of both worlds' is extremely unclear.. what problem are you solving exactly?). You should then precisely state what you're doing. Your setup Eq (4) is already a bit confusing, so you need to be a bit careful when building on it. I guess the point estimate being added here is the original Glove embedding?
- 'Since the contexts are dense embeddins' - you really need to explain this. A context is a context, not an embedding - I think the more precise statement is that a context can be mapped to a dense embedding. I assume it's something like, you start with point estimates (i.e. glove vectors) of contexts, so you can treat each context as being assigned an associated vector. You then cluster this, and sum over the clusters. I'm also not sure if summing normalized SPPMI values makes sense as an object. Shouldn't you merge the contexts and then compute the SPPMI again over the 'combined' context? Either way, this part can be made much more clear.
- I'm not sure why barycenters is obviously better.. if you have polysemy, you'd want to select the meaning that's implied by all the words, and reject any others. The barycenter does not do this, because you're still incurring costs from the word sense that's not being used in the sentence. I guess it's better than the alternatives?
- In the paragraph connecting SIF and CoMB - i have no idea what the precise connection is. You should write down propositions and equations for any precise statements like this one (or remove it).

Minor comment:
- 'Also, KL-divergence isn't defined when the supports of distributions under comparison don't fully overlap' - is false, you only need absolute continuity, meaning you don't need full overlap - just that the support of the distribution inside the log must be a subset of the support of the distribution outside the log. 
- 'Hence, one potential application could be in checking for the implicit bias in point estimates (Bolukbasi et al., 2016) and then correcting it via the ground cost.' - this is a pretty vacuous statement - you could have compared pairwise distances for word embeddings to correct it, for example. I honestly think the throwaway comments like this one and the one above should just be stripped from the paper. 
- The section 'Relation between the histogram and point estimates.' is similarly vacuous. Yes, count based methods use histograms and neural networks use vectors. Yes, your paper kind of uses both. I really do not think pointing this out adds much insight to your paper. It may be that you had something more profound to say, but it doesn't quite come though.
- 'A practical take-home message of this work thus is to not throw away the co-occurrence information e.g. when using GloVe, but to instead pass it on to our method.' - should be moved to the discussion. 
- You may also want to put the timings in the experiment - runtimes are somewhat useless without matching accuracy numbers for approximate algorithms such as sinkhorn. What's the relative (percent) error on your wasserstein distance estimates?
- ' In fact, Figure 3 says it all,' - in fact, figure 3 does not say it all because it's a particular example projected into 2d without very much explanation. In fact i'd argue that it's not a terribly enlightening - what is the ground truth supposed to look like? why is euclidean averaging bad? 
",3: Marginally above acceptance threshold,2,1,2,1,2,1,,"3-This seems haphazard, and I'm not terribly convinced this makes sense.",,3-this is a pretty vacuous statement,"1-<The results are straightforward, and compare to the standard baselines (SIF, infersent etc). I think these are not SoTA numbers but the relative comparisons seem fine, especially for a workshop paper. The addition of supplementary ablation experiments is also much appreciated.> ~~~ 2,3-< I think the more precise statement is that a context can be mapped to a dense embedding. I assume it's something like, you start with point estimates (i.e. glove vectors) of contexts, so you can treat each context as being assigned an associated vector>",0.4,1.4,1
ByxqW0LIK4,ICLR.cc/2019/Workshop/drlStructPred/-/Paper5/Official_Review,This paper is well written and describes their goals and reasons for their decision making clearly. They clearly state their objectives and use of variational inference in as a reinforcement learning problem to improve trajectories. They provide comparisons to Random Monte Carlo methods as well as ISSoft demonstrating improvements of MC methods and in some instances similar performance to ISSoft. The pros are their clear evidence of being able to use variational inference as a means of matching hand crafted baselines as well as a clear reinforcement learning objective to improve the quality of trajectories. The cons are that their proposed method can learn proposals only for a simple stochastic process and do note that they recieve poor results on rare instances from their X distribution as well as their approach not being able to improve the quality  of pre-trained proposals.,3: Marginally above acceptance threshold,2,0,0,0,0,0,1-This paper is well written and describes their goals and reasons for their decision making clearly. They clearly state their objectives and use of variational inference in as a reinforcement learning problem to improve trajectories.,,,"1,2-This paper is well written and describes their goals and reasons for their decision making clearly. They clearly state their objectives and use of variational inference in as a reinforcement learning problem to improve trajectories.~~~1,2-The pros are their clear evidence of being able to use variational inference as a means of matching hand crafted baselines as well as a clear reinforcement learning objective to improve the quality of trajectories.",1-<The pros are their clear evidence of being able to use variational inference as a means of matching hand crafted baselines as well as a clear reinforcement learning objective to improve the quality of trajectories>~~~1<This paper is well written and describes their goals and reasons for their decision making clearly>,1,0,0
ceAr32aMFm,MIDL.io/2020/Conference/Paper94/-/Official_Review,"- Quality:
Interesting problem of predicting malignancy from longitudinal scans. 
High-quality cohort of images, though small-sized. 
Propose a ""two-stream 3D convolutional neural network (TS-3DCNN)"". Authors call it ""sibling networks"" rather than ""siamese"" architectures while sounding very similar.
Strong results on F-score improvement: ""This model outperformed by 9% and 12% the F1-score obtained by the best models using single time-point datasets"".
A confusion matrix would have been really informative, along with discussion on cases where prediction failed. 


- Clarity:
""pair of patches of 32x32x32, cropped around the center of the annotated nodules at both time-points"" & ""the radiologists detected and matched the most relevant nodule and annotated its malignancy"": while this is a quite impressive cohort and annotation work, sampling a single nodule per scan remains limited. Any lower threshold on size of nodule, as in [1]?

""The nodules were labelled as malignant if they had a positive cancer biopsy, and benign if they did not have a significant change in their structure, density or morphology during 2 years or more."": these are not exclusive conditions. What about a significant change and surgery but no confirmation of cancer via biopsy? Or vice versa, no change over 2 years but later on cancer?


- Originality:
This paper is very similar to [1] (some figures are identical) while the final task differs (matching distance versus nodule malignancy).  

[1] Rafael-Palou X, Aubanell A, Bonavita I, Ceresa M, Piella G, Ribas V, Ballester MÃ. Re-Identification and Growth Detection of Pulmonary Nodules without Image Registration Using 3D Siamese Neural Networks. arXiv preprint arXiv:1912.10525. 2019 Dec 22.)   ",3: Weak accept,1,1,1,1,1,0,,,This paper is very similar to [1] (some figures are identical) while the final task differs (matching distance versus nodule malignancy).,,,0.6,0.8,1
cFbPW_fKraQ,ICLR.cc/2021/Conference/Paper2215/-/Official_Review,"Summary: this paper claims to show that the ""mathematical formulation"" of SDEs is ""directly comparable"" with the formulation of GANS. 

I found this paper to be poorly premised. At the outset, the authors state ""An SDE is a map from a noise distribution...to the solution of the SDE which is some other distribution on path space."" This statement is incorrect. First of all an SDE is not a map on measure space. It defines the evolution of sample paths of stochastic processes that induce measures. This suggests to me that the authors conflate the measures on path space with paths themselves. I'm also confused by the analogy between sampling SDEs and GANs — one might as well draw analogies with sampling Gaussian distributions. This is entirely confusing.

There are further fundamental issues that crop up throughout the paper. For instance, in Section 2.2, the authors state that $Y\\stackrel{d}{\\approx} Z$; but what do they mean by this? That  the finite dimensional distributions are approximately equal?

It appears that the point of the paper is that Wasserstein GANs can be applied to path measures induced by SDEs. This is not a novel insight, in my opinion.",,2,2,2,2,2,2,"3-I found this paper to be poorly premised.~~~1,3-This statement is incorrect. First of all an SDE is not a map on measure space. It defines the evolution of sample paths of stochastic processes that induce measures. This suggests to me that the authors conflate the measures on path space with paths themselves.~~~3-IÃ¢â‚¬â„¢m also confused by the analogy between sampling SDEs and GANs Ã¢â‚¬â€ one might as well draw analogies with sampling Gaussian distributions. This is entirely confusing.","1-This is not a novel insight, in my opinion.","1,3-At the outset, the authors state Ã¢â‚¬Å“An SDE is a map from a noise distribution...to the solution of the SDE which is some other distribution on path space.Ã¢â‚¬Â This statement is incorrect. First of all an SDE is not a map on measure space. It defines the evolution of sample paths of stochastic processes that induce measures. This suggests to me that the authors conflate the measures on path space with paths themselves.~~~3-This is entirely confusing. ",5-This is entirely confusing.,5-<This is entirely confusing.>,1,2,2
CvENlRiR5Ve,ICLR.cc/2021/Conference/Paper2915/-/Official_Review,"This paper proposes to use a counterattack strategy to attack an input x, and calculate the distance between x and the crafted example x' as the detection metric. There are two main concerns about this paper:

1. The authors claim that their detection method is attack-agnostic, but their motivation in Fig 1 highly depends on the assumption of the attacking mechanism. There is no guarantee on the effectiveness of AttackDist when the attacks do not follow assumed patterns.

2. In experiments, there are only oblivious attacks, where the adversaries do not know the mechanism of AttackDist. For a defense method, it is necessary to carefully design a convinced adaptive attack and demonstrate the effectiveness of the defense under the adaptive attack.

Minors:
In the introduction section, the authors claim that ""Existing adversarial defense techniques could be classified into two main categories: adversarial training and detection"". Actually, there are many other types of defenses including input processing, robust architecture, random smoothing, certified defenses, etc. Besides, existing adversarial training methods like FastAT can easily scale to ImageNet, running for several hours on a single GPU. The authors should be more updated on these related progresses.",3: Clear rejection,1,1,2,1,1,0,,"There is no guarantee on the effectiveness of AttackDist when the attacks do not follow assumed patterns.~In experiments, there are only oblivious attacks, where the adversaries do not know the mechanism of AttackDist.","The authors claim that their detection method is attack-agnostic, but their motivation in Fig 1 highly depends on the assumption of the attacking mechanism.",,,0.3,1,1
dAbTmyq2PD,NeurIPS.cc/2022/Workshop/HITY/Paper7/-/Official_Review,"The paper proposes to combine sharpness-aware minimization with self-distillation to speed up convergence and improve test performance. Since the empirical results indicate a potential improvement in performance, I recommend to accept the paper.

Some simple suggestions to improve the paper:
- Provide results averaged over multiple random seeds.
- Improve the readability of the figures and the table by increasing the font size.
- Improve the clarity of the method section (Section 3).
",1: accept,1,1,1,0,0,0,,,,,,0.4,0.4,0
db9k5NULiNC,MIDL.io/2020/Conference/Paper188/-/Official_Review,"The authors describe a new end to end image analysis pipeline they developed to interpret histo-pathological images of breast and gastric cancers. Specifically, a deep convolutional neural network (CNN) first makes automatic the analysis of fluorescence in situ hybridization (FISH) images that test the Human Epidermal growth factor Receptor 2 (HER2) oncogene amplification status.  The deep learning pipeline mimics the pathological assessment, and localizes plus classifies the fluorescence signals within each nucleus. Then, it classifies the whole image regarding its HER2 amplification status. 
This short paper gives a good overview of the pipeline and reads well. The methodology seems to be solid and very flexible. The results are also promising although the proposed pipeline is not compared with another state-of-the-art method. The source code of the pipeline is finally freely available. It therefore believe that this work will be of significant interest at MIDL. 
",3: Weak accept,2,0,0,0,0,0,,,,"1,2-This short paper gives a good overview of the pipeline and reads well. The methodology seems to be solid and very flexible. The results are also promising although the proposed pipeline is not compared with another state-of-the-art method. The source code of the pipeline is finally freely available. [[Pos. guideline 3 could be met if the reviewer phrased their critique a bit more specifically. As it is, areas of improvement are just heavily implied; not specific or actionable.]]",1-<This short paper gives a good overview of the pipeline and reads well. The methodology seems to be solid and very flexible. >,1,0,0
eSHGR9YWfi,NeurIPS.cc/2022/Workshop/nCSI/Paper13/-/Official_Review,"**Summary** 

This paper proposes to use the abstract reward machine (RM) as an additional context to learn transferable RL policies. The proposed approach learns a graph embedding of the RM, called RM-GECO, and concatenates the node embedding of the current state to the environment observation before learning the policy. The paper hypothesizes that the RM-GECO provides additional information about the context that helps in generalizing the RL policies to different tasks. The preliminary experiments aim to evaluate this hypothesis on grid navigation tasks.


**Strengths**
* The proposed idea of using RM as context is quite novel. 
* The proposed approach is relevant for the nCSI workshop as RM may encode dynamic causal information of the domain.


**Weaknesses** 
* The paper proposes the use of RM-GECO to learn policies and compares the proposed approach to learning without any context. While the selected baseline is important, it is not sufficient. To justify the use of RM-GECO, a baseline policy that uses some other information as context is essential. Perhaps something like policy sketches [1], or the use of RM without embedding. 
* It is not clear how the preliminary experiments demonstrate the benefit of their approach. How is DQN+GECO better than DQN in Figure 3? 
* The paper needs more evaluation and analysis of when would the RM-GECO help? 

**Questions**
* Figure 3 shows evaluations on a 4x4 grid using RM with 6 and 18 states. How do these curves look when the number of RM states is 3 (like in Figure 1c)? A more thorough discussion of the required resolution of the RM would help.


","2: Good workshop paper, Accept",1,1,1,0,1,0,,,,The paper proposes the use of RM-GECO to learn policies and compares the proposed approach to learning without any context.,,0.4,0.6,1
F8k2r_jshnG,KDD.org/2023/Workshop/epiDAMIK/Paper5/-/Official_Review,"The authors study the problem of detecting vaccine intent from Bing search query log data. Briefly (as I understand their method) their goal is to take a query + click graph and label it with whether it represents vaccine intent or not and then use the results of this classification to estimate the number of vaccines that will be administered in a particular zip code tabulation area. To do so, the authors use Mechanical Turk to label an initial set of query-URL click pairs and then apply semi-supervised learning techniques to grow this set of labels. Pretraining in the form of initializing the model to minimize an auxiliary loss is applied to states with less data. The resulting classifier is evaluated to be highly effective at detecting vaccine intent. Then, a bias correction is performed to go from Bing user counts to population counts, as the usage of Bing is not uniform across states. The estimates the authors develop are highly correlated with CDC-reported vaccine counts, but more granular and do not have a reporting delay.

The paper is of high quality, generally clear, makes methodological innovations, and likely to be of wide interest.

Minor comments:
- Section 3 para 1—fairly important to include the precise criteria for inclusion (at least in Appendix)
- Giving some overview of the challenge of detecting intent from queries would be helpful for those who have not worked with this kind of data before. For example, in 3.1, the phrase ""covid vaccine New York"" is mentioned as suggestive but not unambiguous enough. But it is not clear what is missing from this. Is it that the location named is not specific enough? Or is covid vaccine + location always too ambiguous?
- How were URLs presented to the annotators? Did they see just the URL or did they see the page it led to?

Things that came to mind:
- Accuracy of intent classification across time—I believe this is not reported anywhere. This is a pretty important question given the Google Flu Trends experience.
- Connect vaccine intent queries to queries about symptoms, e.g., does experiencing symptoms motivate people to seek vaccine information?",,1,1,0,0,1,0,,"The paper is of high quality, generally clear, makes methodological innovations, and likely to be of wide interest.",,,,0.4,0.4,0
FALrJLKIt,MIDL.io/2020/Conference/Paper5/-/Official_Review,The coil sensitive functions are modeled by linear combinations of spherical function basis. The model coefficients were estimated using an ADMM algorithm. But the underlying motivation is not justified. The notation $R_u$ was not explained. T The provided images are too small and low-resolution to show any useful details. ,3: Weak accept,1,2,1,2,1,1,,,The notation $R_u$ was not explained. ~~~ T The provided images are too small and low-resolution to show any useful details.,The notation $R_u$ was not explained. T The provided images are too small and low-resolution to show any useful details.,,0.4,1.4,1
Fky6K_Wk12d,ICLR.cc/2023/Workshop/RRL/Paper49/-/Official_Review,"Overall, this is a strong workshop paper on an interesting subject. I think it could be a good full conference paper submission in the future and I think the authors could improve some things for that so I've written more detailed comments.

# paper summary

## overview

- finetuning pretrained RL models isn't as performant as NLP, Vision
    - propose that the issue is [catastrophic] forgetting
- create a toy robot task to demonstrate forgetting in finetuning
- show that continual learning methods (rehearsal, regularization) work here as well

## method and experiments summary

regularization (L2 and EWC)
- L2 loss between pretrained and finetuned weights
- either a standard sum (L2), or EWC weighted

replay (behaviour cloning)
- gather buffer B with pretrained model
- minimize KL on action distribution between pretrained and finetuned models
- *note* mitigating forgetting in critic isn't necessary

first experiment is a toy task, 1D grid env with two tasks in sequence
- model pretrained on task 2 will forget it if task 1 is long enough

second experiment is a robotics task, a sequence of 4 smaller tasks from meta-world, 2 easy then 2 hard
- model pretrained on last two tasks (hard), and must learn the first two without fully forgetting its pretraining
- EWC and BC both help the model retain its pretraining skills and outperform naive finetuning and from-scratch training baselines, L2 is worse somehow

# review

The paper is novel in the connections it makes and I believe it makes a strong and bold claim that these continual learning (CL) problems are what is holding back reincarnated RL. The clarity could use some work as a couple experiments and conclusions are unclear, but the overall significance of this makes it a strong workshop paper. With some improvements, I can see this being a strong conference paper in the future.

What this paper does well is try to bring together the CL and RRL fields. I think a longer related work with equivalents between the two would help. The main robotics experiment does a good job of demonstrating skill forgetting in a practical way, and though it is toy-ish it is hard to dispute the main argument. The CL methods are simple but arguably even more convincing because they are simple and effective. 

The main improvements would be to generally be clearer with what each experiment is testing and more strongly justify the conclusions drawn from each one. There are also some easy improvements to make the experiments more convincing that I suggest below. Finally, the paper is a bit light on overall results, which is fine for a workshop paper, but should definitely be improved for a full conference submission. I think just making the connection between CL and reincarnated RL is interesting but the thing that will sell the paper is justified, actionable, takeaways. The toy experiment feels a bit obvious and I would dedicate less time to them. The robotics experiments are great and do a better job of demonstrating the same points in a ""toy-ish"" way since the setup is a bit unrealistic (knowingly pretraining on the last two tasks). My personal view is that the paper needs to lean into either demonstrating this issue for a real reincarnated setup (e.g. Agarwal et al already showed BC works for Atari, demonstrating the EWC works too would be a strong contribution) or creating a benchmark CL+reincarnated task (such as the robotics task) and release models / eval protocols to allow future work to test which CL methods are beneficial for reincarnated RL. 

Below are more specific comments for improvement.  


## 3

## 3.1
confusion formulation for compositional MDP
- initially 
    - $\\tilde M$ is a subset of $M$ 
    - $\\pi_\\theta$ is pretrained on $\\tilde M$ 
    - the goal is to solve $M$
    - this implies that $\\tilde M$ is the easier initial distribution, $M$ is the distribution you want to transfer to
- later
    - getting to $\\tilde S$ is not trivial
    - $\\pi_\\theta$ doesn't manage to reach states $\\tilde S$ despite being pretrained on them
    - 

I am not sure that this is necessarily ``compositionality'' since you are not recomposing a set of tasks/skills you learned but rather extending your set of tasks while remembering previous ones. Compositionality in RL is more in line with the recently proposed Zipfian RL than this. I would recommend starting from the idea of temporal splits in your MDP and defining your setup around that with clear language that relates to your toy task setup e.g.
    - MDP $M$ is made up of multiple tasks $m_1 \\ldots m_n$ e.g. picking, placing, opening box
    - policy $\\theta$ is pretrained on sub-MDP $\\tilde M$ that contains only a subset of those tasks e.g. picking, placing
    - the goal is to maintain learned skills on tasks in $\\tilde M$ when transferring to $M$ e.g. maintaining picking even if opening box comes earlier in the MDP $M$

## 3.2

$c$ is never defined
- I assume it is the current space the agent is on
- why is it a parameter to the environment if the agent starts at $x = 0$
- why do you have a variable $x$ that seems identical to $c$?
- I would expect $c$ to be a constant if it is a parameter to the env but that would make solving the problem impossible since it needs to know state
- Figure 3a says it sets $c = 0.5$, what does this mean given the previous context?

Deceptive X-axis in Figure 3 (right)
- left and center go to 500 steps
- right goes only to 50 steps
- this is confusing and showing the full 500 would be better
- e.g. it seems like M = 35 solves the full environment but only has a 15% chance of getting to Phase 2 at the end of training

I didn't fully understand why magnitude of $s1 / s2$ will make a big difference

why don't you demonstrate your CL methods on this?

nitpick: just use an affine model and make the state $c$, this is clearer and simpler

## 4

Figures 4 and 5 are great, very clear

If you want to do even better, you might consider randomizing orders of envs and taking average to get an overall score for ""best"" CL method


## Related Work

There is a substantial work on RL for language models that deals with this problem of continual learning, usually called ""alignment tax"" or ""robustness"" in that literature. Specifically, you can see the KL divergence to a pretrained model and re-running on pretrain data (replay) as CL methods, and they are standard in RLHF literature (KL introduced by Jaques et al, standard RLHF paper is Ziegler et al). There is also a smaller literature on ""Countering Drift"" in emergent communication that tackles a similar problem in RL (e.g. Lee et al). I don't think these works diminish the novelty of yours at all though, since these scenarios are really bandits and use RL for gradient estimation, essentially, whereas you are dealing with full MDPs and possibly more than two tasks (they do LM pretraining and finetune on a single task).

A comparison of CL and RRL methods, showing which ones are the same or have strong similarities would also be great.


","4: Good paper, strong accept",2,0,1,0,0,0,"1-Overall, this is a strong workshop paper on an interesting subject. I think it could be a good full conference paper submission in the future and I think the authors could improve some things for that so I've written more detailed comments.~~~1,2,3-The paper is novel in the connections it makes and I believe it makes a strong and bold claim that these continual learning (CL) problems are what is holding back reincarnated RL. The clarity could use some work as a couple experiments and conclusions are unclear, but the overall significance of this makes it a strong workshop paper. With some improvements, I can see this being a strong conference paper in the future.~~~1,2,3-What this paper does well is try to bring together the CL and RRL fields. I think a longer related work with equivalents between the two would help. The main robotics experiment does a good job of demonstrating skill forgetting in a practical way, and though it is toy-ish it is hard to dispute the main argument. The CL methods are simple but arguably even more convincing because they are simple and effective.~~~2-The main improvements would be to generally be clearer with what each experiment is testing and more strongly justify the conclusions drawn from each one. There are also some easy improvements to make the experiments more convincing that I suggest below. Finally, the paper is a bit light on overall results, which is fine for a workshop paper, but should definitely be improved for a full conference submission. I think just making the connection between CL and reincarnated RL is interesting but the thing that will sell the paper is justified, actionable, takeaways.",,,"[[Too long to identify all positive sentences, but many can be readily identified for each Positivity Guideline]]","1-<Overall, this is a strong workshop paper on an interesting subject?~~~3-<. I would recommend starting from the idea of temporal splits in your MDP and defining your setup around that with clear language that relates to your toy task setup e.g.>",0.6,0.2,0
FO4GdgU1yRz,NeurIPS.cc/2022/Workshop/HITY/Paper16/-/Official_Review,"This paper provides an acceleration method for adaptive SGD like Adam. The core idea is to improve upon the proximal point method by taking the norm in the regularization term to be wrt. the preconditioner. The resulting method is a Nesterov-like acceleration, combining both conservative and reckless steps in a gradient update step. 

I think the idea is interesting and initial experiments are looking good.",1: accept,2,0,1,1,1,0,1-I think the idea is interesting and initial experiments are looking good.,,,,"1-<I think the idea is interesting and initial experiments are looking good""",0.4,0.6,1
